date,tic,open,high,low,close,volume,macd,macds,macdh,macd.1,macd_signal,macd_hist,ema_3,ema_5,ema_8,ema_10,ema_12,ema_15,ema_20,ema_26,ema_30,ema_35,ema_40,ema_45,ema_50,ema_60,ema_100,ema_200,sma_5,sma_10,sma_15,sma_20,sma_30,sma_50,sma_60,sma_100,sma_200,wma_10,wma_20,wma_30,dema_10,dema_20,dema_30,tema_10,tema_20,tema_30,trix,trix_signal,rsi_6,rsi_9,rsi_12,rsi_14,rsi_21,rsi_24,cci_14,cci_20,roc_12,roc_25,mom_10,mom_14,mom_20,willr_14,willr_21,stoch_k_9,stoch_d_9,stoch_j_9,stoch_k_14,stoch_d_14,stoch_j_14,uo,bb_upper_20,bb_lower_20,bb_width_20,bb_pct_20,bb_upper_50,bb_lower_50,bb_width_50,bb_pct_50,atr_7,atr_14,atr_21,std_10,std_20,std_30,kc_upper,kc_lower,dc_upper,dc_lower,dc_middle,obv,vol_ma_5,vol_ma_10,vol_ma_20,vol_ratio,mfi,ad_line,vwap,cmf,adx,pos_di,neg_di,aroon_up,aroon_down,aroon_osc,pivot,r1,r2,s1,s2,sar,price_change,price_change_pct,true_range,typical_price,median_price,weighted_close,intraday_intensity
2020-11-23,AAPL,117.18,117.62,113.75,113.85,127959300,0.0,0.0,0.0,0.0,0.0,0.0,113.85,113.85,113.85,113.85,113.85,113.85,113.85,113.85,113.85,113.85,113.85,113.85,113.85,113.85,113.85,113.85,,,,,,,,,,,,,113.85,113.85,113.85,113.85,113.85,113.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,-121346416.28,115.07,,,,,,,,,,,,,113.75,,,3.87,115.07,115.68,114.77,-121346416.28
2020-11-24,AAPL,113.91,115.85,112.59,115.17,113874200,0.03,0.02,0.01,0.11,0.02,0.08,114.51,114.29,114.14,114.09,114.05,114.01,113.98,113.95,113.94,113.92,113.91,113.91,113.9,113.89,113.88,113.86,,,,,,,,,,,,,114.29,114.09,114.01,114.45,114.19,114.09,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113874200,,,,,,-54978017.51,114.82,,,,,,,,115.07,116.4,118.94,112.53,111.2,117.62,1.32,1.16,3.26,114.54,114.22,114.7,66368398.77
2020-11-25,AAPL,115.55,116.75,115.17,116.03,76499200,0.06,0.04,0.03,0.26,0.07,0.19,115.27,114.87,114.56,114.44,114.36,114.27,114.17,114.1,114.07,114.04,114.02,114.0,113.99,113.96,113.92,113.88,,,,,,,,,,,,,114.89,114.45,114.27,115.23,114.69,114.45,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190373400,,,,,,-48199607.38,115.1,,,,,,,,114.54,116.48,117.8,113.22,111.28,117.62,0.86,0.75,1.58,115.98,115.96,116.0,6778410.13
2020-11-27,AAPL,116.57,117.49,116.22,116.59,46691300,0.1,0.06,0.04,0.41,0.14,0.28,115.93,115.44,115.01,114.83,114.7,114.56,114.4,114.29,114.23,114.18,114.14,114.11,114.09,114.05,113.97,113.91,,,,,,,,,,,,,115.52,114.86,114.57,115.99,115.25,114.87,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237064700,,,,,,-67684953.05,115.31,,,,,,,,115.98,116.8,117.56,115.22,114.4,117.52,0.56,0.48,1.46,116.77,116.85,116.72,-19485345.67
2020-11-30,AAPL,116.97,120.97,116.81,119.05,169410200,0.21,0.1,0.11,0.73,0.26,0.47,117.49,116.65,115.91,115.6,115.37,115.12,114.84,114.64,114.54,114.45,114.38,114.33,114.28,114.21,114.07,113.96,116.14,,,,,,,,,,,,116.79,115.66,115.15,117.59,116.33,115.69,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406474900,106886840.0,,,,,-54653399.2,116.46,,,,,,,,116.77,117.31,118.04,116.04,115.5,112.59,2.46,2.11,4.38,118.94,118.89,118.97,13031553.85
2020-12-01,AAPL,121.01,123.47,120.01,122.72,127728200,0.44,0.19,0.24,1.26,0.46,0.81,120.1,118.67,117.42,116.89,116.5,116.07,115.59,115.24,115.07,114.91,114.79,114.69,114.61,114.49,114.24,114.05,117.91,,,,,,,,,,,,118.93,117.01,116.13,120.27,118.16,117.06,0.05,0.02,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534203100,106840620.0,,,,,17701303.69,117.54,,,,,,,,118.94,121.08,123.1,116.92,114.78,112.76,3.67,3.08,4.42,122.07,121.74,122.23,72354702.89
2020-12-02,AAPL,122.02,123.37,120.89,123.08,89004200,0.59,0.29,0.29,1.69,0.7,0.99,121.59,120.14,118.68,118.02,117.51,116.95,116.31,115.82,115.59,115.37,115.19,115.06,114.94,114.77,114.42,114.14,119.49,,,,,,,,,,,,120.6,118.24,117.07,122.15,119.74,118.32,0.08,0.03,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,,,,,,,,,,,623207300,101866620.0,,,,,85890005.3,118.13,,,,,,,,122.07,124.12,125.53,120.66,118.61,113.19,0.36,0.29,2.48,122.45,122.13,122.6,68188701.61
2020-12-03,AAPL,123.52,123.78,122.21,122.94,78967600,0.67,0.38,0.29,2.0,0.96,1.04,122.27,121.07,119.63,118.91,118.35,117.69,116.94,116.35,116.06,115.79,115.57,115.4,115.26,115.04,114.59,114.23,120.88,,,,,,,,,,,,121.76,119.26,117.89,123.24,120.97,119.39,0.11,0.05,98.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,,,,,,,,,,,544239700,102360300.0,,,,,80357243.52,118.59,,,,,,,,122.45,124.0,124.93,121.52,119.97,113.6,-0.14,-0.11,1.57,122.98,123.0,122.97,-5532761.78
2020-12-04,AAPL,122.6,122.86,121.52,122.25,78260400,0.69,0.45,0.23,2.16,1.2,0.96,122.26,121.47,120.21,119.52,118.95,118.26,117.44,116.78,116.46,116.15,115.9,115.7,115.53,115.28,114.74,114.31,122.01,,,,,,,,,,,,122.34,120.0,118.54,123.54,121.76,120.18,0.14,0.07,89.47,91.75,,,,,,,,,,,,,,86.33,,,,,,,,,,,,,,,2.47,,,,,,,,,,,465979300,108674120.0,,,,,87365637.55,118.9,,,,,,,,122.98,123.74,124.55,122.17,121.41,114.21,-0.69,-0.56,1.42,122.21,122.19,122.22,7008394.03
2020-12-07,AAPL,122.31,124.57,122.25,123.75,86712000,0.76,0.52,0.24,2.39,1.44,0.95,123.0,122.23,121.0,120.29,119.69,118.95,118.05,117.3,116.93,116.57,116.28,116.05,115.85,115.56,114.92,114.4,122.95,119.54,,,,,,,,121.33,,,123.23,120.9,119.32,124.3,122.76,121.14,0.17,0.09,90.59,92.82,,,,,,,,,,,,,,93.16,,,,,,,,,,,,,,,2.58,,,3.83,,,,,,,,552691300,92134480.0,99510660.0,,,,112781223.75,119.3,,,,,,,,122.21,122.9,123.55,121.56,120.87,114.78,1.5,1.23,2.32,123.52,123.41,123.58,25415586.21
2020-12-08,AAPL,124.37,124.98,123.09,124.38,82225500,0.84,0.59,0.25,2.58,1.67,0.92,123.69,122.94,121.75,121.03,120.41,119.63,118.65,117.82,117.41,117.0,116.68,116.41,116.19,115.85,115.1,114.5,123.28,120.6,,,,,,,,122.21,,,124.05,121.78,120.1,124.98,123.71,122.07,0.2,0.11,88.13,92.36,,,,,,,,,10.53,,,,,93.88,91.12,99.41,,,,,,,,,,,,,2.64,,,3.53,,,,,,,,634916800,83033940.0,94937280.0,,,,142800057.09,119.67,,,,,,,,123.52,124.8,125.84,122.48,121.2,115.57,0.63,0.51,1.89,124.15,124.04,124.21,30018833.33
